195.245.239.126:443#DE 406ms
194.26.232.203:443#NL 406ms
185.244.49.38:443#NL 407ms
206.166.251.92:443#NL 408ms
176.222.54.31:443#NL 408ms
217.144.189.96:443#NL 409ms
38.180.161.11:443#CH 409ms
195.234.62.215:443#DE 409ms
45.154.35.160:443#LT 410ms
2.59.183.56:443#NL 410ms
185.198.166.182:443#NL 410ms
89.35.131.5:443#NL 411ms
217.60.36.88:443#AE 411ms
193.33.153.151:443#NL 411ms
188.116.26.216:443#NL 412ms
20.246.127.166:443#US 412ms
172.104.144.222:443#DE 412ms
103.82.101.179:443#FR 413ms
103.102.228.113:443#NL 415ms
45.147.228.249:443#DE 415ms
194.87.29.167:443#DE 415ms
185.106.93.179:443#DE 416ms
194.87.54.121:443#DE 416ms
5.230.44.233:443#DE 416ms
167.17.178.166:443#DE 417ms
91.149.239.64:443#US 417ms
3.68.31.54:443#DE 418ms
185.225.201.204:443#NL 419ms
45.63.114.83:443#FR 419ms
2.59.183.174:443#NL 419ms
5.78.114.254:443#US 420ms
81.22.132.136:443#NL 420ms
213.166.71.40:443#NL 421ms
20.121.115.188:443#US 421ms
63.205.203.251:443#US 422ms
89.169.13.214:443#NL 422ms
146.0.79.184:443#NL 423ms
150.230.21.15:443#NL 423ms
34.218.130.79:443#US 423ms
185.225.201.194:443#NL 425ms
52.213.11.150:443#IE 425ms
109.206.241.235:443#EE 425ms
185.213.211.29:443#NL 425ms
107.175.183.62:443#US 426ms
5.182.86.15:443#NL 426ms
91.184.242.46:443#NL 426ms
176.222.55.17:443#NL 426ms
185.225.201.210:443#NL 426ms
79.137.205.248:443#NL 426ms
31.207.47.231:443#NL 427ms
91.184.242.155:443#NL 427ms
213.165.88.177:443#GB 428ms
185.87.150.54:443#FR 429ms
217.144.187.40:443#DE 429ms
2.59.183.198:443#NL 429ms
213.183.51.219:443#NL 429ms
91.192.102.55:443#CH 431ms
38.180.100.80:443#RS 431ms
38.180.133.83:443#NL 432ms
212.192.4.56:443#DE 432ms
77.91.77.116:443#DE 432ms
109.237.98.44:443#NL 432ms
212.86.115.27:443#NL 433ms
45.81.227.122:443#NL 433ms
93.114.133.159:443#GB 434ms
2.59.183.140:443#NL 436ms
107.172.159.182:443#US 438ms
213.226.68.142:443#DE 439ms
77.221.155.136:443#NL 440ms
217.144.189.127:443#NL 440ms
